kind,expected,heard,ref_index,clip_id,provider,accent,tier,domain
DOSE-MISS,200 days,,6,4e3b6e2d9fcb97c87a269b1e0747e762,whisper,swahili,A,general
DOSE-MISS,240 days,,17,4e3b6e2d9fcb97c87a269b1e0747e762,whisper,swahili,A,general
DOSE-MISS,2 l,,4,58fb549d14b07c3aae8b252439917dce,whisper,idoma,B,clinical
DRUG-DEL,morphine,,12,5b5cea61187384389906b36683ffa428,whisper,zulu,B,clinical
DOSE-MISS,60 ml,,3,68d7b378f686a4ea235df042be92df7c,whisper,yoruba,A,clinical
DRUG-DEL,pyrimethamine,,6,6afed7fe39a177c3d510b925d8267a94,whisper,swahili,A,general
DRUG-DEL,trimethoprim,,10,6afed7fe39a177c3d510b925d8267a94,whisper,swahili,A,general
DRUG-DEL,meprobamate,,6,6b6bd6a9b36dbd20ca8ba0b48a0e83c0,whisper,igbo,A,clinical
DOSE-MISS,12 days,,7,795fbbcc55dad655ff683752f4b1030c,whisper,brass,C,clinical
DRUG-DEL,haloperidol,,18,7ac2b7f21b9550f6de49f8047e0c0e19,whisper,luo,C,clinical
DRUG-DEL,estradiol,,17,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DRUG-DEL,norethindrone,,18,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DOSE-MISS,0.5 mg,,25,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DOSE-MISS,0.75 mg,,27,8132758125fa0e3156821052a383f9ef,whisper,hausa,A,clinical
DRUG-DEL,nitroglycerin,,1,824c7c4c945e6189c231341493d25e5d,whisper,sepedi,C,clinical
DOSE-VAL,250 mg,150 mg,15,868cbb2849424d087eb7b0b2dd76e3c6,whisper,bassa,C,clinical
DOSE-MISS,22 units,,3,868ed2786d8b2dedffe5b5358c2c529d,whisper,agatu,C,clinical
NEG-FLIP,without,,5,89329d8ccf699d749378e316d5da474d,whisper,luganda,B,general
DOSE-MISS,130 ml,,2,8a9cea52e9b59a3a21705dc3c2885d04,whisper,nyandang,C,clinical
DRUG-DEL,trimethoprim,,10,8cb3809701786ccfebe73b788fdbf219,whisper,setswana,B,general
NEG-FLIP,without,,13,9259dde6b27dc39fcc0779e36d0bec02,whisper,kikuyu,C,clinical
DRUG-DEL,imatinib,,10,927f85be5b655d2292720b02da67a9f2,whisper,pidgin,B,clinical
DRUG-DEL,prednisone,,1,94a84a0f3f82fccfb5d198d9398ac92d,whisper,ijaw,A,clinical
DRUG-DEL,ropinirole,,14,950669fd990036359a84fc27a609d98b,whisper,hausa,A,clinical
DRUG-DEL,labetalol,,0,95db94bcf9a5dca2090b618996026b61,whisper,mada,C,clinical
NEG-FLIP,no,,7,96c0239bebf9812f391113c433a60ac3,whisper,swahili,A,clinical
DRUG-DEL,zosyn,,4,9a375dac7ab12b6d59cffdb932f4d50b,whisper,hausa,A,clinical
DRUG-DEL,cefotaxime,,8,9b7de9c3315540a63648b9c1212db787,whisper,jaba,C,clinical
DOSE-MISS,42 ml,,16,a118dd3124494bfe59ab23ed58e83735,whisper,idah,C,clinical
NEG-FLIP,no,,9,a46605b3fdc92295cbd88bb861487e58,whisper,ijaw,A,general
DRUG-DEL,quetiapine,,0,a52cc1bdf941a9b4d76061ddbda05072,whisper,igbo,A,clinical
DRUG-DEL,lumefantrine,,9,a8b08dfb2d86e274967be71c137de2c2,whisper,idoma,B,general
DOSE-MISS,750 mg,,15,a8c855fb76476df248ee0277b5d8b74a,whisper,hausa,A,clinical
DRUG-DEL,propofol,,10,a9a96ccbe9944292c08bc630aaee1d78,whisper,idoma,B,clinical
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,whisper,mwaghavul,C,clinical
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,whisper,mwaghavul,C,clinical
DOSE-VAL,445 kg,4445 kg,7,aeffc6466b2f3e6a60d1a381c6688d62,whisper,igbo,A,general
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,whisper,hausa,A,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,whisper,hausa,A,clinical
DOSE-MISS,5 ml,,9,b89670db369c7e025fb0d74ca94533af,whisper,hausa,A,clinical
DRUG-DEL,estradiol,,18,b9fbfa440d2ba2a19ff2e1f37ee2edf4,whisper,yoruba,A,clinical
DRUG-DEL,ketoconazole,,2,bd6c36ca7dfb7303fc8ca6e11274a52f,whisper,isixhosa,C,clinical
DRUG-DEL,lantus,,3,bde569d1c5436b9011e7291e0591791d,whisper,itsekiri,C,clinical
DRUG-DEL,levothyroxine,,1,bfeb15fa6cda5bc99eca0dfa907afdfd,whisper,igarra,C,clinical
DOSE-MISS,50 mcg,,2,bfeb15fa6cda5bc99eca0dfa907afdfd,whisper,igarra,C,clinical
DOSE-MISS,6 days,,15,c08715672b66e97854b8d32304a36be0,whisper,kiswahili,B,clinical
DOSE-MISS,5 mg,,3,c0a962e9ab1e4b0165f645072d036ce7,whisper,ebira,B,clinical
DRUG-DEL,metoprolol,,1,c0a9d8722ec57a9d7c0014132185a05a,whisper,hausa,A,clinical
NEG-FLIP,no,,5,c18453be6b19c1812bdbeb7e32666683,whisper,hausa,A,clinical
NEG-FLIP,denies,,0,c2093acb790a4bbcaf0367cecfa15793,whisper,igbo,A,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,whisper,swahili,A,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,whisper,swahili,A,clinical
DRUG-DEL,rituximab,,4,c43d8faa6efe9020bdd669a67ba1e988,whisper,efik,C,clinical
NEG-FLIP,not,,2,c55c2f342f2c47bf07bc91edf2aa07db,whisper,luhya,B,clinical
DRUG-DEL,senna,,0,cdad5949ae6301810466710c9fa591b7,whisper,gbagyi,C,clinical
NEG-FLIP,not,,5,ce1c6816a2d6aece987ed5c0f8fb8c67,whisper,luhya,B,clinical
DRUG-DEL,venlafaxine,,3,ce44e5e5a82a4afd35c8538c0c3cbeee,whisper,igbo,A,clinical
DRUG-DEL,sucralfate,,9,cee69f2a5332655a8e0bf4626e3c67c5,whisper,ibibio,B,clinical
DRUG-SUB,lisdexamfetamine,vitamins,4,cf605b3aaadbd365452e997fbc78122d,whisper,efik,C,clinical
DRUG-DEL,meloxicam,,0,ec18809717922ca38ceeb713515fbcff,whisper,sesotho,C,clinical
DRUG-DEL,erythromycin,,0,ee52a0bb537315a9e13798dc8dfbd627,whisper,idoma,B,clinical
DOSE-MISS,3.6 ml,,3,ee9c796e757ac3a2493c10bd9d7029c5,whisper,yoruba,A,clinical
DRUG-DEL,zosyn,,2,f1c88ce543440298faaed9f743d579de,whisper,hausa,A,clinical
DRUG-DEL,calcitriol,,1,f5cb123d9ff58506553397ea7d69d50a,whisper,etche,C,clinical
DOSE-UNIT,0.5 mcg,0.5 mg,2,f5cb123d9ff58506553397ea7d69d50a,whisper,etche,C,clinical
NEG-FLIP,not,,1,f90956b98a371a04fb2d01be89fe11cf,whisper,yoruba,A,clinical
DOSE-MISS,57 ml,,1,fb226674b17933ee5365ba61f4e6f578,whisper,etche,C,clinical
DOSE-MISS,60 ml,,5,fb226674b17933ee5365ba61f4e6f578,whisper,etche,C,clinical
DRUG-DEL,dantrolene,,0,fbb74c6452c0cd8839a84a8e8a6edeab,whisper,akan,C,clinical
